index,speaker_party,speaking
10,D,mr speaker rise today seek congression recognit except achiev outstand career susan bender cours almost profession career jewish commun center jcc new york citi long island susan work tirelessli ensur famili individu live new york citi long island access mentalhealth socialservic program innov leader unyield advoc individu disabl also dedic leader commun graduat brooklyn colleg degre speech patholog susan began work jcc distinct start career staten island jewish commun center director earli childhood develop move execut director young mensyoung women hebrew associ westchest new york susan becam execut director sid jacobson jewish commun center east hill new york congression district susan enthusiast direct sid jacobson flourish center dramat expand facil east hill also ad bernic jacobson day school camp old westburi new york susan develop center note innov program autist children singl parent bereav help found firstofitskind program adult earlyonset alzheim famili today center staff annual budget million offer extens catalog dynam program peopl age abil success center direct testament strength susan leadership dedic provid commun member best possibl servic addit work sid jacobson susan appli energi vision varieti leadership role nation jcc movement serv member jewish commun center associ board director presid associ jewish center profession ajcp eastern region name nation presid ajcp mr speaker year susan bender retir contribut immeasur commun proud recogn susan ask colleagu join thank lifetim tremend work other
28,R,mr speaker would like honor outstand young men women cullman area teenag republican club name outstand teenag republican club nation second year row nation teenag republican leadership confer fine young men women applaud dedic hard work togeth spent hour particip special project grassroot outreach commun activ organ also outstand leadership guidanc republican state execut committe member rebecca branch conserv teenag cullman form cullman area teenag republican club found avenu could impact elect level rebecca shine exampl provid real leadership student year addit daniel robinson graduat cullman high school recogn outstand republican nation daniel work increas membership cullman also help start new teen republican organ baldwin shelbi madison morgan counti daniel plan continu educ auburn univers fall look forward opportun work auburn young republican fall except young peopl work dilig recruit alabama youth involv polit process promot understand conserv philosophi encourag see young student alabama fourth district great thing applaud accomplish mr speaker great privileg honor member cullman area teenag republican club achiev unwav resolut build organ conserv youth alabama join famili friend colleagu congratul receiv award
16,D,inquiri motion hous stunt hous
18,D,ye mr speaker hous
46,R,yield gentleman florida
38,R,yield gentleman ask confirm amend still requir applic biometr enrol person
9,D,mr speaker rise today celebr recognit anniversari latvian jewish commun sinc late jewish peopl latvia demonstr incred persever courag inconceiv trial persecut reflect mileston anniversari let us rememb histori celebr futur first jewish settlement latvia appear late centuri steadi immigr expans steadfast resili commun grew spread across countri jewish popul expand contribut immeasur econom industri cultur develop latvia accomplish came despit frequent forc cope antisemit law cultur prejudic late approxim latvian jew live prosper countri summer nazi troop occupi latvia within day occup nazi issu special decre restrict jewish right establish ghetto jew surround countri forcibl transport latvian camp ten thousand murder conclus world war ii tragic latvian jew remain year jew surround region reloc latvia rebuild commun peopl aftermath greatest evil ever perpetr peopl latvian jew march restor cultur societi fight oppress soviet rule latvia becam one center zionist dissid jewish nation movement soviet union jewish activist struggl right immigr israel openli honor memori holocaust victim thousand emigr israel unit state western europ today latvian jewish commun experienc rebirth anniversari jew latvia look back histori solemn pride suffer terribl hardship latvian jewri rebuild religi social life revit commun endur spirit would like extend special recognit latvian council jewish commun unit state commiss preserv america heritag abroad organ extrem success memori project riga latvia oldest jewish cemeteri leadership guidanc chairman warren miller commission lee seeman memori old jewish cemeteri remind world tragedi jew kill world war ii ask us strive better futur proud celebr latvian jewish commun histor anniversari ask colleagu join recogn past persever achiev extend sincer best wish futur success prosper
30,R,mr chairman insist point order act chair gentleman state point order
8,D,mr speaker rise today seek congression recognit except achiev outstand charit humanitarian work farooq kathwari month mr kathwari receiv yet anoth prestigi honor unit state institut peac usip dedic farooq kathwari amphitheat recognit long stand work usip well decad humanitarian effort across globe farooq enjoy long illustri busi career throughout life also dedic unfalteringli numer humanitarian caus alway marvel way balanc success busi career commit give back pay forward farooq kathwari fit recipi singular honor usip lead fortun compani gener lend valuabl time energi promot world peac advocaci serv board numer human right organ life stori farooq kathwari illustr great countri stand bounti opportun unit state offer citizen farooq kathwari came america year ago polit refuge strifetorn kashmir lead one nation largest prestigi compani arriv new york citi age arm ba english polit scienc determin live grow free societi two year later earn mba went work newcourt secur rapidli rose posit vice presid simultan launch import busi soon thereaft icon american compani ethan allen purchas interest compani firm merg farooq kathwari becam vice presid ethan allen risen post chairman presid ceo farooq top execut ethan allen interior year leadership compani becom lead competitor interior design home furnish also foster busi valu environment social respons nation leader furnitur industri serv director chairman nation retail feder director former chairman presid american home furnish allianc industri also induct american furnitur hall fame farooq profession accomplish impress laudabl contribut tireless dedic foster world peac better live other humanitarian effort extend peopl displac conflict zone end refuge camp face religi persecut middl east elsewher recent farooq honor offic unit nation high commission refuge steadfast dedic rais conscious plight refuge worldwid also serv presid advisori commiss asian american pacif island receiv numer award peac activ includ humanitarian award antidefam leagu farooq director former chairman refuge intern director intern rescu committe director institut studi diplomaci georgetown univers henri l stimson center member council foreign relat also friend mr speaker farooq life work help foster dialogu peac muchtroubl region promot human right around world ask colleagu hous repres stand join honor farooq kathwari compassion selfless citizen may good work serv model countless other follow
37,R,ask unanim consent clerk read amend act chair without object clerk report amend
