index,alabama,also,american,anniversari,area,area teenag,career,center,club,commun center,compani,cullman,dedic,director,farooq,farooq kathwari,honor,humanitarian,island,jacobson,jew,jewish commun,kathwari,latvia,latvian,leadership,member,nation,new,new york,organ,outstand,peac,peopl,presid,program,recognit,refuge,republican club,serv,susan,teenag,teenag republican,today,unit,work,world,year,york,young,speaker_party
0,0.0,0.0735569177531,0.0,0.0,0.0,0.0,0.12611460482,0.331006129889,0.0,0.197805570487,0.0,0.0,0.0735569177531,0.168152806427,0.0,0.0,0.0,0.0,0.12611460482,0.197805570487,0.0,0.168152806427,0.0,0.0,0.0,0.0653973709186,0.0735569177531,0.0653973709186,0.183892294383,0.210191008034,0.0,0.0367784588766,0.0,0.0326986854593,0.0840764032135,0.197805570487,0.0367784588766,0.0,0.0,0.0420382016067,0.494513926218,0.0,0.0,0.0735569177531,0.0,0.147113835506,0.0,0.0326986854593,0.210191008034,0.0420382016067,D
1,0.172113027134,0.0853370222752,0.0,0.0,0.172113027134,0.172113027134,0.0,0.0,0.229484036178,0.0,0.0,0.344226054268,0.0426685111376,0.0,0.0,0.0,0.0853370222752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113806091989,0.0853370222752,0.113806091989,0.0426685111376,0.0,0.128005533413,0.17067404455,0.0,0.0379353639963,0.0,0.0,0.0,0.0,0.229484036178,0.0,0.0,0.344226054268,0.286855045223,0.0,0.0,0.17067404455,0.0,0.0758707279926,0.0,0.24385299551,R
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R
6,0.0,0.0,0.0,0.191563222049,0.0,0.0,0.0,0.0356178042258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0356178042258,0.0,0.0,0.0,0.335235638585,0.162846239953,0.0,0.383126444098,0.43101724961,0.0316667803031,0.0,0.0316667803031,0.0,0.0,0.0356178042258,0.0,0.0,0.0950003409092,0.0,0.0,0.0712356084515,0.0,0.0,0.0,0.0,0.0,0.0,0.0712356084515,0.0814231199767,0.0,0.122134679965,0.0316667803031,0.0,0.0,D
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R
8,0.0,0.145669762548,0.156691124989,0.0,0.0,0.0,0.0666008857692,0.0291339525097,0.0,0.0,0.195863906236,0.0,0.116535810039,0.166502214423,0.509246156214,0.274209468731,0.116535810039,0.195863906236,0.0333004428846,0.0,0.0,0.0,0.313382249978,0.0,0.0,0.0259021714993,0.0291339525097,0.103608685997,0.0291339525097,0.0333004428846,0.0291339525097,0.0291339525097,0.195863906236,0.0259021714993,0.166502214423,0.0,0.0582679050194,0.195863906236,0.0,0.133201771538,0.0,0.0,0.0,0.0291339525097,0.0999013286538,0.145669762548,0.0999013286538,0.0777065144979,0.0333004428846,0.0,D
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R
